date,gold,oil
10/7/2014,0.388101506,1.26696837
10/8/2014,0.182434569,1.199248622
10/9/2014,0.337214841,1.131528874
10/10/2014,0.28314776,1.133727567
10/13/2014,0.342515535,1.130209658
10/14/2014,0.342515535,0.958711595
10/15/2014,0.363718312,0.956073163
10/16/2014,0.323433036,0.996529117
10/17/2014,0.334034425,0.99872781
10/20/2014,0.395522478,0.996968855
10/21/2014,0.475032892,1.001366242
10/22/2014,0.419905672,0.900666097
10/23/2014,0.266185538,0.969705061
10/24/2014,0.296929565,0.922213289
10/27/2014,0.269365955,0.921773551
10/28/2014,0.271486232,0.940242573
10/29/2014,0.235441512,0.974542186
10/30/2014,-0.043375006,0.927050414
10/31/2014,-0.329612496,0.901545574
11/3/2014,-0.345514579,0.824151577
11/4/2014,-0.388980272,0.754233136
11/5/2014,-0.624331097,0.81975419
11/6/2014,-0.663556234,0.785894316
11/7/2014,-0.3815593,0.818434975
11/10/2014,-0.484392768,0.763467647
11/11/2014,-0.444107492,0.787213532
11/12/2014,-0.493934018,0.753793397
11/13/2014,-0.48333263,0.623191026
11/14/2014,-0.226779028,0.693988944
11/17/2014,-0.246921666,0.686073649
11/18/2014,-0.121825281,0.640780571
11/19/2014,-0.144088197,0.639461355
11/20/2014,-0.191794445,0.683435217
11/21/2014,-0.117584726,0.724330909
11/24/2014,-0.135607086,0.69222999
11/25/2014,-0.125005698,0.617914162
11/26/2014,-0.13242667,0.600324618
11/27/2014,-1.14697955,0.374298965
11/28/2014,-0.379439022,0.268761696
12/1/2014,0.058398323,0.394087203
12/2/2014,-0.130306392,0.300862615
12/3/2014,-0.01263098,0.322849547
12/4/2014,-0.029593201,0.297784445
12/5/2014,-0.171651807,0.255129799
12/8/2014,-0.133486809,0.132442723
12/9/2014,0.2460429,0.166302597
12/10/2014,0.196216374,0.039657873
12/11/2014,0.162291931,-0.00387625
12/12/2014,0.068999712,-0.097980315
12/15/2014,-0.098502227,-0.181530654
12/16/2014,-0.264944026,-0.180651177
12/17/2014,-0.26176361,-0.156905291
12/18/2014,-0.244801388,-0.260683606
12/19/2014,-0.226779028,-0.154706598
12/22/2014,-0.395341105,-0.210113664
12/23/2014,-0.395341105,-0.12832228
12/24/2014,-0.438806798,-0.184608824
12/25/2014,-1.272075935,-0.181090915
12/26/2014,-0.204516112,-0.233419811
12/29/2014,-0.361416662,-0.282670537
12/30/2014,-0.15999028,-0.260243867
12/31/2014,-0.33491319,-0.29762165
1/1/2015,-1.168182327,-0.240895368
1/2/2015,-0.310529997,-0.32312649
1/5/2015,-0.143028058,-0.439657225
1/6/2015,-0.050795978,-0.532442075
1/7/2015,-0.141967919,-0.500780894
1/8/2015,-0.163170696,-0.494624553
1/9/2015,-0.101682643,-0.513533314
1/12/2015,0.065819295,-0.614233459
1/13/2015,0.0796011,-0.622148754
1/14/2015,-0.026412785,-0.508256451
1/15/2015,0.27360651,-0.606318163
1/16/2015,0.401883311,-0.49902194
1/19/2015,-0.223598611,-0.539038154
1/20/2015,0.58740761,-0.600161823
1/21/2015,0.598008999,-0.539038154
1/22/2015,0.723105383,-0.603679732
1/23/2015,0.64253483,-0.635340913
1/26/2015,0.515318168,-0.654689412
1/27/2015,0.611790804,-0.607197641
1/28/2015,0.529099973,-0.685471116
1/29/2015,0.199396791,-0.681953207
1/30/2015,0.419905672,-0.518810178
2/2/2015,0.396582617,-0.460324941
2/3/2015,0.23650165,-0.3072959
2/4/2015,0.30117012,-0.509575666
2/5/2015,0.285268038,-0.420308726
2/6/2015,0.048857074,-0.367100353
2/9/2015,0.12624721,-0.315650934
2/10/2015,0.03401513,-0.440536703
2/11/2015,-0.093201532,-0.49242586
2/12/2015,-0.098502227,-0.388207807
2/13/2015,-0.029593201,-0.319168843
2/16/2015,-0.692179983,-0.282670537
2/17/2015,-0.191794445,-0.286188446
2/18/2015,-0.280846109,-0.347312115
2/19/2015,-0.223598611,-0.3904065
2/20/2015,-0.262823748,-0.426465067
2/23/2015,-0.310529997,-0.465601804
2/24/2015,-0.369897772,-0.473077361
2/25/2015,-0.339153746,-0.397882056
2/26/2015,-0.232079722,-0.521888348
2/27/2015,-0.19709514,-0.451969907
3/2/2015,-0.235260138,-0.459445463
3/3/2015,-0.25222236,-0.418549772
3/4/2015,-0.290387359,-0.374136171
3/5/2015,-0.338093607,-0.407996045
3/6/2015,-0.661435956,-0.458565986
3/9/2015,-0.635992624,-0.44141618
3/10/2015,-0.74094637,-0.516611484
3/11/2015,-0.843779839,-0.521888348
3/12/2015,-0.837419006,-0.571139074
3/13/2015,-0.838479145,-0.668321309
3/16/2015,-0.834238589,-0.710536217
3/17/2015,-0.885125254,-0.729005239
3/18/2015,-0.853321089,-0.676236605
3/19/2015,-0.726104426,-0.707018308
3/20/2015,-0.564963321,-0.629624311
3/23/2015,-0.535279433,-0.553549529
3/24/2015,-0.496054296,-0.550911097
3/25/2015,-0.431385826,-0.476155531
3/26/2015,-0.328552357,-0.378533557
3/27/2015,-0.382619439,-0.491106644
3/30/2015,-0.546940961,-0.499461678
3/31/2015,-0.591466792,-0.546953449
4/1/2015,-0.358236245,-0.437458532
4/2/2015,-0.421844576,-0.479233701
4/3/2015,-0.421844576,-0.479233701
4/6/2015,-0.239500694,-0.347312115
4/7/2015,-0.313710413,-0.266400208
4/8/2015,-0.391100549,-0.422947158
4/9/2015,-0.49181374,-0.406676829
4/10/2015,-0.367777495,-0.369299046
4/13/2015,-0.426085132,-0.357426103
4/14/2015,-0.5289186,-0.296742173
4/15/2015,-0.439866937,-0.1604232
4/16/2015,-0.476971796,-0.146351564
4/17/2015,-0.422904715,-0.18900621
4/20/2015,-0.516196934,-0.160862939
4/21/2015,-0.412303326,-0.210113664
4/22/2015,-0.564963321,-0.170537188
4/23/2015,-0.487573185,-0.101058486
4/24/2015,-0.716563177,-0.127003065
4/27/2015,-0.411243188,-0.134038883
4/28/2015,-0.281906248,-0.130960712
4/29/2015,-0.296748192,-0.064120442
4/30/2015,-0.582985682,-0.017947886
5/1/2015,-0.656135262,-0.03905534
5/4/2015,-0.51937735,-0.04872959
5/5/2015,-0.421844576,0.015911988
5/6/2015,-0.437746659,0.039218135
5/7/2015,-0.524678045,-0.048289851
5/8/2015,-0.482272491,-0.028501613
5/11/2015,-0.537399711,-0.034657954
5/12/2015,-0.434566242,0.03130284
5/13/2015,-0.167411252,0.020309374
5/14/2015,-0.09532181,-0.006954421
5/15/2015,-0.096381949,-0.015309454
5/18/2015,-0.071998755,-0.026742659
5/19/2015,-0.281906248,-0.12216594
5/20/2015,-0.259643332,-0.046530897
5/21/2015,-0.31689083,0.029983624
5/22/2015,-0.299928608,-0.013990239
5/25/2015,-0.949793724,-0.008273636
5/26/2015,-0.485452907,-0.088306066
5/27/2015,-0.502415129,-0.111172474
5/28/2015,-0.482272491,-0.103696918
5/29/2015,-0.480152213,0.011514602
6/1/2015,-0.48333263,0.007117215
6/2/2015,-0.404882355,0.053729509
6/3/2015,-0.488633324,-0.017508148
6/4/2015,-0.592526931,-0.089625282
6/5/2015,-0.629631791,-0.039934817
6/8/2015,-0.572384293,-0.083468941
6/9/2015,-0.521497628,0.004478784
6/10/2015,-0.396401244,0.061205066
6/11/2015,-0.460009575,0.032182317
6/12/2015,-0.476971796,-0.003436512
6/15/2015,-0.426085132,-0.022785011
6/16/2015,-0.493934018,-0.002996773
6/17/2015,-0.520437489,-0.005195466
6/18/2015,-0.267064304,0.018110681
6/19/2015,-0.281906248,-0.018827363
6/22/2015,-0.465310269,-0.015749193
6/23/2015,-0.542700405,0.042736044
6/24/2015,-0.582985682,0.010195386
6/25/2015,-0.590406653,-0.014869716
6/26/2015,-0.560722766,-0.017947886
6/29/2015,-0.508775962,-0.075113907
6/30/2015,-0.585105959,-0.024983704
7/1/2015,-0.609489153,-0.135358098
7/2/2015,-0.683698872,-0.136677314
7/3/2015,-1.369608709,-0.19868046
7/6/2015,-0.587226237,-0.330162308
7/7/2015,-0.810915534,-0.338957081
7/8/2015,-0.714442899,-0.368859307
7/9/2015,-0.751547759,-0.319168843
7/10/2015,-0.735645676,-0.320927797
7/13/2015,-0.752607898,-0.344673683
7/14/2015,-0.780171508,-0.307735639
7/15/2015,-0.844839978,-0.379413034
7/16/2015,-0.877704282,-0.401399965
7/17/2015,-1.010221638,-0.402279442
7/20/2015,-1.277376629,-0.434820101
7/21/2015,-1.34098496,-0.42558559
7/22/2015,-1.467141483,-0.477035008
7/23/2015,-1.440638012,-0.509575666
7/24/2015,-1.547712036,-0.523207564
7/27/2015,-1.435337318,-0.55618796
7/28/2015,-1.435337318,-0.530243382
7/29/2015,-1.468201622,-0.494624553
7/30/2015,-1.511667315,-0.506497496
7/31/2015,-1.514847732,-0.568060903
8/3/2015,-1.581636479,-0.653809935
8/4/2015,-1.561493841,-0.628744833
8/5/2015,-1.578456063,-0.654689412
8/6/2015,-1.530749814,-0.676236605
8/7/2015,-1.486223983,-0.710975956
8/10/2015,-1.380210098,-0.663044446
8/11/2015,-1.360067459,-0.745715307
8/12/2015,-1.197866215,-0.736041057
8/13/2015,-1.281617184,-0.78309309
8/14/2015,-1.311301072,-0.771220147
8/17/2015,-1.251933297,-0.79892368
8/18/2015,-1.268895518,-0.765943284
8/19/2015,-1.154400522,-0.845975713
8/20/2015,-0.888305671,-0.8310246
8/21/2015,-0.839539283,-0.861366565
8/24/2015,-0.923290253,-0.9585488
8/25/2015,-1.084431358,-0.911496768
8/26/2015,-1.240271769,-0.94271821
8/27/2015,-1.259354268,-0.768581715
8/28/2015,-1.140618717,-0.651611242
8/31/2015,-1.1565208,-0.47659527
9/1/2015,-1.10987469,-0.643256208
9/2/2015,-1.183024271,-0.606318163
9/3/2015,-1.298579406,-0.584331232
9/4/2015,-1.330383572,-0.615112936
9/7/2015,-1.877415219,-0.67447765
9/8/2015,-1.336744405,-0.619950061
9/9/2015,-1.540291064,-0.698663274
9/10/2015,-1.463961067,-0.620829538
9/11/2015,-1.527569398,-0.67755582
9/14/2015,-1.487284121,-0.705259354
9/15/2015,-1.542411342,-0.679314775
9/16/2015,-1.361127598,-0.566741687
9/17/2015,-1.375969542,-0.577735153
9/18/2015,-1.171362744,-0.675357127
9/21/2015,-1.22118927,-0.587409403
9/22/2015,-1.317661905,-0.624787186
9/23/2015,-1.246632602,-0.6841519
9/24/2015,-1.020823027,-0.665243139
9/25/2015,-1.106694274,-0.630503788
9/28/2015,-1.259354268,-0.686350593
9/29/2015,-1.315541628,-0.651171503
9/30/2015,-1.469261761,-0.657327844
10/1/2015,-1.485163844,-0.672718696
10/2/2015,-1.250873158,-0.637539606
10/5/2015,-1.25829413,-0.605878425
