date,price
6/17/2015,1247.9
6/18/2015,1271.8
6/19/2015,1270.4
6/22/2015,1253.1
6/23/2015,1245.8
6/24/2015,1242
6/25/2015,1241.3
6/26/2015,1244.1
6/29/2015,1249
6/30/2015,1241.8
7/1/2015,1239.5
7/2/2015,1232.5
7/3/2015,1167.8
7/6/2015,1241.6
7/7/2015,1220.5
7/8/2015,1229.6
7/9/2015,1226.1
7/10/2015,1227.6
7/13/2015,1226
7/14/2015,1223.4
7/15/2015,1217.3
7/16/2015,1214.2
7/17/2015,1201.7
7/20/2015,1176.5
7/21/2015,1170.5
7/22/2015,1158.6
7/23/2015,1161.1
7/24/2015,1151
7/27/2015,1161.6
7/28/2015,1161.6
7/29/2015,1158.5
7/30/2015,1154.4
7/31/2015,1154.1
8/3/2015,1147.8
8/4/2015,1149.7
8/5/2015,1148.1
8/6/2015,1152.6
8/7/2015,1156.8
8/10/2015,1166.8
8/11/2015,1168.7
8/12/2015,1184
8/13/2015,1176.1
8/14/2015,1173.3
8/17/2015,1178.9
8/18/2015,1177.3
8/19/2015,1188.1
8/20/2015,1213.2
8/21/2015,1217.8
8/24/2015,1209.9
8/25/2015,1194.7
8/26/2015,1180
8/27/2015,1178.2
8/28/2015,1189.4
8/31/2015,1187.9
9/1/2015,1192.3
9/2/2015,1185.4
9/3/2015,1174.5
9/4/2015,1171.5
9/7/2015,1119.9
9/8/2015,1170.9
9/9/2015,1151.7
9/10/2015,1158.9
9/11/2015,1152.9
9/14/2015,1156.7
9/15/2015,1151.5
9/16/2015,1168.6
9/17/2015,1167.2
9/18/2015,1186.5
9/21/2015,1181.8
9/22/2015,1172.7
9/23/2015,1179.4
9/24/2015,1200.7
9/25/2015,1192.6
9/28/2015,1178.2
9/29/2015,1172.9
9/30/2015,1158.4
10/1/2015,1156.9
10/2/2015,1179
10/5/2015,1178.3
10/6/2015,1186.4
10/7/2015,1189.1
10/8/2015,1185
10/9/2015,1197.5
10/12/2015,1206.2
10/13/2015,1206.9
10/14/2015,1219.3
10/15/2015,1227.1
10/16/2015,1222.3
10/19/2015,1212
10/20/2015,1216.6
10/21/2015,1205.4
10/22/2015,1204.1
10/23/2015,1200.1
10/26/2015,1201.7
10/27/2015,1199.8
10/28/2015,1210.9
10/29/2015,1183.4
10/30/2015,1176.8
11/2/2015,1172
11/3/2015,1150.2
11/4/2015,1142.8
11/5/2015,1141.7
11/6/2015,1129.5
11/9/2015,1130.8
11/10/2015,1131
11/11/2015,1127
11/12/2015,1122.9
11/13/2015,1122.9
11/16/2015,1124.1
11/17/2015,1108.5
11/18/2015,1108.5
11/19/2015,1117.2
11/20/2015,1115.4
11/23/2015,1106.3
11/24/2015,1113.2
11/25/2015,1110
11/26/2015,1070.8
11/27/2015,1096.5
11/30/2015,1105.9
12/1/2015,1104
12/2/2015,1094.4
12/3/2015,1102.6
12/4/2015,1125.2
12/7/2015,1116.3
12/8/2015,1116.4
12/9/2015,1117.3
12/10/2015,1112.7
12/11/2015,1116.2
12/14/2015,1103.8
12/15/2015,1102.2
12/16/2015,1117.7
12/17/2015,1090.5
12/18/2015,1105.7
12/21/2015,1122.9
12/22/2015,1116.4
12/23/2015,1110.6
12/24/2015,1118.3
12/25/2015,1118.3
12/28/2015,1110.5
12/29/2015,1111
12/30/2015,1103.2
12/31/2015,1103.4
1/1/2016,1103.4
1/4/2016,1118.1
1/5/2016,1121
1/6/2016,1134.5
1/7/2016,1145.3
1/8/2016,1134.9
1/11/2016,1131.7
1/12/2016,1120.3
1/13/2016,1120.6
1/14/2016,1106.4
1/15/2016,1121.6
1/18/2016,1088.5
1/19/2016,1119.9
1/20/2016,1135.8
1/21/2016,1127.7
1/22/2016,1126.7
1/25/2016,1136.5
1/26/2016,1151.4
1/27/2016,1148
1/28/2016,1147.8
1/29/2016,1146.2
2/1/2016,1157.8
2/2/2016,1156.4
2/3/2016,1169.6
