date,oil
12/10/2015,-1.023630117
12/11/2015,-1.07376032
12/14/2015,-1.043418355
12/15/2015,-0.997685538
12/16/2015,-1.078157706
12/17/2015,-1.103222807
12/18/2015,-1.112897057
12/21/2015,-1.112457318
12/22/2015,-1.050893911
12/23/2015,-0.991089458
12/24/2015,-0.964705141
12/25/2015,-0.964705141
12/28/2015,-1.021431423
12/29/2015,-0.974819129
12/30/2015,-1.030665935
12/31/2015,-1.011317435
1/1/2016,-1.011317435
1/4/2016,-1.023630117
1/5/2016,-1.058369468
1/6/2016,-1.146317192
1/7/2016,-1.177098896
1/8/2016,-1.181936021
1/11/2016,-1.25889028
1/12/2016,-1.301544926
1/13/2016,-1.299785972
1/14/2016,-1.268124791
1/15/2016,-1.346398266
1/18/2016,-1.320013948
1/19/2016,-1.388613174
1/20/2016,-1.47260325
1/21/2016,-1.341561141
1/22/2016,-1.224590667
1/25/2016,-1.305942312
1/26/2016,-1.257131325
1/27/2016,-1.219753542
1/28/2016,-1.179297589
1/29/2016,-1.161708044
2/1/2016,-1.249655769
2/2/2016,-1.326170289
2/3/2016,-1.22063302
2/4/2016,-1.245258382
2/5/2016,-1.281756688
2/8/2016,-1.334525323
2/9/2016,-1.411479582
2/10/2016,-1.433026774
2/11/2016,-1.487554364
2/12/2016,-1.345518788
2/15/2016,-1.294509108
2/16/2016,-1.363108333
2/17/2016,-1.291870676
2/18/2016,-1.287033552
2/19/2016,-1.336724016
2/22/2016,-1.255812109
2/23/2016,-1.238662303
2/24/2016,-1.226349622
2/25/2016,-1.185893668
2/26/2016,-1.198646088
2/29/2016,-1.155991442
3/1/2016,-1.127408432
3/2/2016,-1.115975227
3/3/2016,-1.119932875
3/4/2016,-1.060568161
3/7/2016,-0.973499914
3/8/2016,-1.035063321
3/9/2016,-0.956350107
3/10/2016,-0.976138345
3/11/2016,-0.947115596
3/14/2016,-1.005161094
3/15/2016,-1.042099139
3/16/2016,-0.948874551
3/17/2016,-0.87236003
3/18/2016,-0.905780166
3/21/2016,-0.88511245
3/22/2016,-0.817392702
3/23/2016,-0.890389314
3/24/2016,-0.904900688
3/25/2016,-0.904900688
3/28/2016,-0.907978859
3/29/2016,-0.956789846
3/30/2016,-0.955030891
3/31/2016,-0.954151414
4/1/2016,-1.022310901
4/4/2016,-1.070242411
4/5/2016,-1.061887377
4/6/2016,-0.980095993
4/7/2016,-1.001643185
4/8/2016,-0.893467484
4/11/2016,-0.865324212
4/12/2016,-0.785731522
4/13/2016,-0.803760805
4/14/2016,-0.815194009
4/15/2016,-0.865324212
4/18/2016,-0.890829052
4/19/2016,-0.833663032
4/20/2016,-0.765503545
4/21/2016,-0.741317921
4/22/2016,-0.717132296
4/25/2016,-0.765063806
4/26/2016,-0.703500399
4/27/2016,-0.646774117
4/28/2016,-0.615992413
4/29/2016,-0.620829538
5/2/2016,-0.670959741
5/3/2016,-0.720650205
5/4/2016,-0.714933603
5/5/2016,-0.691187718
5/6/2016,-0.676236605
5/9/2016,-0.729884717
5/10/2016,-0.676236605
5/11/2016,-0.607197641
5/12/2016,-0.586529925
5/13/2016,-0.608077118
5/16/2016,-0.541676586
5/17/2016,-0.515732007
5/18/2016,-0.521008871
5/19/2016,-0.522328087
5/20/2016,-0.54035737
5/23/2016,-0.525845996
5/24/2016,-0.50210011
5/25/2016,-0.460764679
5/26/2016,-0.464282588
5/27/2016,-0.470878668
5/30/2016,-0.462963372
5/31/2016,-0.480992656
6/1/2016,-0.484950304
6/2/2016,-0.477914486
6/3/2016,-0.50210011
6/6/2016,-0.455048077
6/7/2016,-0.42558559
6/8/2016,-0.387328329
6/9/2016,-0.416790817
6/10/2016,-0.482311872
6/13/2016,-0.490666906
6/14/2016,-0.507816712
6/15/2016,-0.528924166
6/16/2016,-0.608077118
6/17/2016,-0.530243382
6/20/2016,-0.469119713
6/21/2016,-0.491986122
6/22/2016,-0.47967344
6/23/2016,-0.436579055
6/24/2016,-0.545194495
6/27/2016,-0.602800255
