"V1","V2"
1354.1,1349.38195803011
1353.5,1352.86595111487
1354.4,1353.55216917877
1354.4,1354.14493532423
1355.5,1354.37227701163
1351.8,1355.2919809897
1353.5,1352.54964252581
1360.6,1352.96117006242
1329.3,1359.5141871147
1331.1,1340.60770208136
1329.2,1329.02267524752
1325.3,1328.51123639427
1321,1325.47911119104
1321.3,1321.50179978995
1319.2,1319.77547254249
1309.6,1318.78346765029
1305.7,1313.50187064962
1300.2,1306.88690192835
1303.9,1302.62289762061
1289.9,1301.37142277171
1302.4,1298.20353114642
1258.1,1296.12785446823
1307.6,1290.2023547808
1304.8,1298.20787306871
1309,1305.46830624429
1305.1,1306.06255687734
1293.3,1306.32591005661
1295.4,1299.95072052694
1289.7,1293.9991189216
1288.2,1292.8634369283
1275.3,1289.00342281883
1275.7,1283.4712514022
1271.1,1275.68652266966
1277.5,1273.96245280999
1271.4,1274.36666697867
1271.5,1275.17622412866
1277.4,1271.65327987476
1271.8,1274.51098271307
1269.3,1275.27252662876
1268,1270.90961084994
1270.1,1268.91107335372
1264.3,1269.16370215616
1256.5,1267.78567895083
1259.7,1260.99126179434
1254.1,1258.11601031306
1254.7,1257.22817547636
1257.3,1254.42907970224
1256.3,1256.00885378989
1255.1,1256.88924087775
1234.6,1255.78550364957
1236.4,1246.25862825097
1220.2,1236.31545561231
1219.2,1230.59069558626
1219.3,1223.7839384271
1229.6,1223.47771504974
1234.9,1227.3904555141
1238.2,1233.53100829309
1228.4,1237.26676477209
1248.2,1234.58203709507
1251.2,1239.96507029827
1249.6,1249.73444128507
1246.5,1250.48458773626
1239.5,1248.20251626953
1241.1,1243.42634939537
1206.3,1240.68763884788
1233.6,1227.91081670548
1236,1225.55085266797
1239.1,1235.69994651444
1235.5,1238.1676308314
1235,1237.97516983998
1237.6,1236.09379264067
1246.6,1237.03500168036
1243.8,1242.55295975596
1236.6,1245.40356787776
1241.2,1240.76703471113
1238.3,1239.42377147583
1244.1,1240.21732891293
1247,1241.58689970884
1236.9,1245.68087896646
1240,1242.56919661807
1240.8,1238.98829485825
1234.4,1240.78100707377
1222.4,1238.32229676458
1231.3,1230.50598834056
1227,1229.19445124279
1242.7,1230.92264799749
1238.7,1236.35627964717
1237.5,1241.13190732897
1242.2,1238.66818657752
1224.9,1240.30286031599
1227.8,1235.16248351395
1229.4,1228.66620431993
1264,1230.44440923287
1258.1,1251.7706207043
1266.9,1261.4965351156
1267.3,1262.64564871528
1263.4,1267.2599017855
1266.6,1265.73777914442
1265.3,1265.06673730637
1261.3,1266.17879498977
1273.5,1263.65430901294
1267.6,1267.76857821487
1269,1271.20869337443
1272.3,1268.43148425751
1263.7,1270.73986796255
1261.5,1268.90056361243
1250.8,1262.82720273087
1274.8,1256.87930970605
1269.9,1265.03674375876
1269,1272.93242141915
1263,1269.69525016889
1265.4,1266.57752250405
1262,1264.27318249826
1245,1264.02067605664
1239.6,1254.81294891618
1237.5,1242.69160886193
1246.2,1239.09253414471
1251.7,1242.30283671418
1259,1249.02974172553
1261.6,1255.42328059746
1257.5,1260.33632422541
1264.7,1259.83386305577
1228,1261.18057763758
1260,1250.04825461271
1259.7,1248.13300350311
1250.4,1259.95038003612
1260.2,1255.61888093464
1260.8,1255.48855788346
1256.5,1260.57920814473
1270.2,1258.92861888687
1277.4,1263.85340241625
1273.4,1273.88365096699
1274.3,1275.9136789823
1283.6,1274.01672055733
1280,1279.04701616715
1278.1,1282.22777966245
1281,1279.36341839094
1278.4,1279.5920380857
1272.2,1280.06451049025
1282.6,1276.0427783906
1284,1277.57668041633
1286.8,1283.33167950354
1298.6,1285.3256393462
1288.6,1292.67802283417
1302.4,1294.44246739921
1270.75,1295.64211899671
1303.7,1292.72117875007
1311.9,1292.66034974835
1313.7,1307.17996980707
1312.5,1311.70377165884
1283.35,1311.94712627747
