date,actual,predict
12/4/2018,1273.4,1286.41373
12/5/2018,1274.3,1282.428486
12/6/2018,1283.6,1283.332427
12/7/2018,1280,1292.423041
12/10/2018,1278.1,1288.958923
12/11/2018,1281,1287.102513
12/12/2018,1278.4,1289.928211
12/13/2018,1272.2,1287.39691
12/14/2018,1282.6,1281.216755
12/17/2018,1284,1291.467838
12/18/2018,1286.8,1292.803593
12/19/2018,1298.6,1295.442853
12/20/2018,1288.6,1306.084158
12/21/2018,1302.4,1297.116628
12/24/2018,1270.75,1309.342995
12/25/2018,1303.7,1279.742791
12/26/2018,1311.9,1310.438924
12/27/2018,1313.7,1317.129034
12/28/2018,1312.5,1318.546231
12/31/2018,1283.35,1317.603483
1/1/2019,,
